136800.00s | Verde | Pos: (9.99e+10, 2.93e+09) | Vel: (-9.17e+02, 2.07e+04) | Acel: (-6.42e-03, 4.55e-03)
136800.00s | Azul | Pos: (-3.55e+09, 9.99e+10) | Vel: (-2.43e+04, -1.11e+03) | Acel: (4.79e-03, -7.60e-03)
144000.00s | Vermelho | Pos: (-3.10e+11, 3.03e+09) | Vel: (3.64e+02, 2.01e+04) | Acel: (2.42e-03, 3.90e-04)
144000.00s | Verde | Pos: (9.99e+10, 3.08e+09) | Vel: (-9.63e+02, 2.07e+04) | Acel: (-6.43e-03, 4.54e-03)
144000.00s | Azul | Pos: (-3.72e+09, 9.99e+10) | Vel: (-2.43e+04, -1.17e+03) | Acel: (4.80e-03, -7.59e-03)
151200.00s | Vermelho | Pos: (-3.10e+11, 3.17e+09) | Vel: (3.81e+02, 2.01e+04) | Acel: (2.43e-03, 3.90e-04)
151200.00s | Verde | Pos: (9.99e+10, 3.23e+09) | Vel: (-1.01e+03, 2.07e+04) | Acel: (-6.44e-03, 4.53e-03)
151200.00s | Azul | Pos: (-3.90e+09, 9.99e+10) | Vel: (-2.42e+04, -1.22e+03) | Acel: (4.81e-03, -7.57e-03)
158400.00s | Vermelho | Pos: (-3.10e+11, 3.32e+09) | Vel: (3.99e+02, 2.01e+04) | Acel: (2.43e-03, 3.91e-04)
158400.00s | Verde | Pos: (9.99e+10, 3.38e+09) | Vel: (-1.06e+03, 2.08e+04) | Acel: (-6.44e-03, 4.52e-03)
158400.00s | Azul | Pos: (-4.07e+09, 9.99e+10) | Vel: (-2.42e+04, -1.28e+03) | Acel: (4.81e-03, -7.56e-03)
165600.00s | Vermelho | Pos: (-3.10e+11, 3.46e+09) | Vel: (4.16e+02, 2.01e+04) | Acel: (2.43e-03, 3.91e-04)
165600.00s | Verde | Pos: (9.99e+10, 3.53e+09) | Vel: (-1.10e+03, 2.08e+04) | Acel: (-6.45e-03, 4.51e-03)
165600.00s | Azul | Pos: (-4.25e+09, 9.99e+10) | Vel: (-2.42e+04, -1.33e+03) | Acel: (4.82e-03, -7.55e-03)
172800.00s | Vermelho | Pos: (-3.10e+11, 3.61e+09) | Vel: (4.34e+02, 2.01e+04) | Acel: (2.43e-03, 3.91e-04)
172800.00s | Verde | Pos: (9.99e+10, 3.68e+09) | Vel: (-1.15e+03, 2.08e+04) | Acel: (-6.46e-03, 4.50e-03)
172800.00s | Azul | Pos: (-4.42e+09, 9.99e+10) | Vel: (-2.41e+04, -1.38e+03) | Acel: (4.82e-03, -7.54e-03)
180000.00s | Vermelho | Pos: (-3.10e+11, 3.75e+09) | Vel: (4.51e+02, 2.01e+04) | Acel: (2.43e-03, 3.91e-04)
180000.00s | Verde | Pos: (9.99e+10, 3.83e+09) | Vel: (-1.20e+03, 2.09e+04) | Acel: (-6.46e-03, 4.49e-03)
180000.00s | Azul | Pos: (-4.59e+09, 9.99e+10) | Vel: (-2.41e+04, -1.44e+03) | Acel: (4.83e-03, -7.52e-03)
187200.00s | Vermelho | Pos: (-3.10e+11, 3.90e+09) | Vel: (4.69e+02, 2.01e+04) | Acel: (2.43e-03, 3.91e-04)
187200.00s | Verde | Pos: (9.99e+10, 3.98e+09) | Vel: (-1.24e+03, 2.09e+04) | Acel: (-6.47e-03, 4.49e-03)
187200.00s | Azul | Pos: (-4.77e+09, 9.98e+10) | Vel: (-2.41e+04, -1.49e+03) | Acel: (4.84e-03, -7.51e-03)
194400.00s | Vermelho | Pos: (-3.10e+11, 4.04e+09) | Vel: (4.86e+02, 2.01e+04) | Acel: (2.44e-03, 3.91e-04)
194400.00s | Verde | Pos: (9.99e+10, 4.13e+09) | Vel: (-1.29e+03, 2.09e+04) | Acel: (-6.48e-03, 4.48e-03)
194400.00s | Azul | Pos: (-4.94e+09, 9.98e+10) | Vel: (-2.40e+04, -1.55e+03) | Acel: (4.84e-03, -7.50e-03)
201600.00s | Vermelho | Pos: (-3.10e+11, 4.18e+09) | Vel: (5.04e+02, 2.01e+04) | Acel: (2.44e-03, 3.92e-04)
201600.00s | Verde | Pos: (9.99e+10, 4.28e+09) | Vel: (-1.34e+03, 2.10e+04) | Acel: (-6.48e-03, 4.47e-03)
201600.00s | Azul | Pos: (-5.11e+09, 9.98e+10) | Vel: (-2.40e+04, -1.60e+03) | Acel: (4.85e-03, -7.49e-03)
208800.00s | Vermelho | Pos: (-3.10e+11, 4.33e+09) | Vel: (5.21e+02, 2.01e+04) | Acel: (2.44e-03, 3.92e-04)
208800.00s | Verde | Pos: (9.98e+10, 4.43e+09) | Vel: (-1.38e+03, 2.10e+04) | Acel: (-6.49e-03, 4.46e-03)
208800.00s | Azul | Pos: (-5.29e+09, 9.98e+10) | Vel: (-2.40e+04, -1.65e+03) | Acel: (4.85e-03, -7.47e-03)
216000.00s | Vermelho | Pos: (-3.10e+11, 4.47e+09) | Vel: (5.39e+02, 2.01e+04) | Acel: (2.44e-03, 3.92e-04)
216000.00s | Verde | Pos: (9.98e+10, 4.58e+09) | Vel: (-1.43e+03, 2.10e+04) | Acel: (-6.50e-03, 4.45e-03)
216000.00s | Azul | Pos: (-5.46e+09, 9.98e+10) | Vel: (-2.39e+04, -1.71e+03) | Acel: (4.86e-03, -7.46e-03)
223200.00s | Vermelho | Pos: (-3.10e+11, 4.62e+09) | Vel: (5.57e+02, 2.01e+04) | Acel: (2.44e-03, 3.92e-04)
223200.00s | Verde | Pos: (9.98e+10, 4.73e+09) | Vel: (-1.48e+03, 2.11e+04) | Acel: (-6.50e-03, 4.44e-03)
223200.00s | Azul | Pos: (-5.63e+09, 9.98e+10) | Vel: (-2.39e+04, -1.76e+03) | Acel: (4.87e-03, -7.45e-03)
230400.00s | Vermelho | Pos: (-3.10e+11, 4.76e+09) | Vel: (5.74e+02, 2.01e+04) | Acel: (2.45e-03, 3.92e-04)
230400.00s | Verde | Pos: (9.98e+10, 4.89e+09) | Vel: (-1.52e+03, 2.11e+04) | Acel: (-6.51e-03, 4.43e-03)
230400.00s | Azul | Pos: (-5.80e+09, 9.98e+10) | Vel: (-2.39e+04, -1.82e+03) | Acel: (4.87e-03, -7.43e-03)
237600.00s | Vermelho | Pos: (-3.10e+11, 4.91e+09) | Vel: (5.92e+02, 2.01e+04) | Acel: (2.45e-03, 3.92e-04)
237600.00s | Verde | Pos: (9.98e+10, 5.04e+09) | Vel: (-1.57e+03, 2.11e+04) | Acel: (-6.52e-03, 4.42e-03)
237600.00s | Azul | Pos: (-5.97e+09, 9.98e+10) | Vel: (-2.38e+04, -1.87e+03) | Acel: (4.88e-03, -7.42e-03)
244800.00s | Vermelho | Pos: (-3.10e+11, 5.05e+09) | Vel: (6.09e+02, 2.01e+04) | Acel: (2.45e-03, 3.93e-04)
244800.00s | Verde | Pos: (9.98e+10, 5.19e+09) | Vel: (-1.62e+03, 2.12e+04) | Acel: (-6.52e-03, 4.42e-03)
244800.00s | Azul | Pos: (-6.14e+09, 9.97e+10) | Vel: (-2.38e+04, -1.92e+03) | Acel: (4.88e-03, -7.41e-03)
252000.00s | Vermelho | Pos: (-3.10e+11, 5.20e+09) | Vel: (6.27e+02, 2.01e+04) | Acel: (2.45e-03, 3.93e-04)
252000.00s | Verde | Pos: (9.98e+10, 5.34e+09) | Vel: (-1.66e+03, 2.12e+04) | Acel: (-6.53e-03, 4.41e-03)
252000.00s | Azul | Pos: (-6.32e+09, 9.97e+10) | Vel: (-2.38e+04, -1.98e+03) | Acel: (4.89e-03, -7.40e-03)
259200.00s | Vermelho | Pos: (-3.10e+11, 5.34e+09) | Vel: (6.45e+02, 2.01e+04) | Acel: (2.45e-03, 3.93e-04)
259200.00s | Verde | Pos: (9.98e+10, 5.50e+09) | Vel: (-1.71e+03, 2.12e+04) | Acel: (-6.54e-03, 4.40e-03)
259200.00s | Azul | Pos: (-6.49e+09, 9.97e+10) | Vel: (-2.37e+04, -2.03e+03) | Acel: (4.90e-03, -7.38e-03)
266400.00s | Vermelho | Pos: (-3.10e+11, 5.49e+09) | Vel: (6.62e+02, 2.01e+04) | Acel: (2.46e-03, 3.93e-04)
266400.00s | Verde | Pos: (9.98e+10, 5.65e+09) | Vel: (-1.76e+03, 2.12e+04) | Acel: (-6.54e-03, 4.39e-03)
266400.00s | Azul | Pos: (-6.66e+09, 9.97e+10) | Vel: (-2.37e+04, -2.08e+03) | Acel: (4.90e-03, -7.37e-03)
